crop,soil_type,temperature,humidity,rainfall,risk_index,fertilizer
Bell Pepper,Loam,18.541666666666668,89.95833333333333,12.5,1.0,Balanced NPK
Tomato,Loam,24.416666666666668,70.41666666666667,4.9,1.0,Balanced NPK
Grape,Sandy,24.625,65.54166666666667,0.0,0.0,High Potassium
Strawberry,Clay,23.291666666666668,83.29166666666667,44.7,1.0,Balanced NPK
Grape,Loam,22.375,84.95833333333333,0.0,0.0,Balanced NPK
Strawberry,Sandy,23.666666666666668,71.5,0.6000000000000001,0.0,High Potassium
Bell Pepper,Sandy,30.125,42.583333333333336,0.0,0.0,Balanced NPK
Strawberry,Sandy,28.45833333333333,42.04166666666666,0.0,0.0,High Potassium
Tomato,Sandy,28.70833333333333,39.66666666666666,0.0,0.0,High Potassium
Peach,Sandy,26.916666666666668,65.41666666666667,3.9,0.0,Balanced NPK
Bell Pepper,Sandy,22.791666666666668,68.91666666666667,0.2,0.0,Balanced NPK
Bell Pepper,Sandy,21.45833333333333,53.833333333333336,0.0,0.0,Balanced NPK
Peach,Sandy,21.416666666666668,68.875,0.0,0.0,Balanced NPK
Strawberry,Sandy,23.20833333333333,73.33333333333333,0.0,0.0,High Potassium
Apple,Sandy,21.95833333333333,63.208333333333336,0.5,0.0,Balanced NPK
Grape,Sandy,23.666666666666668,55.125,0.0,0.0,High Potassium
Tomato,Sandy,20.25,73.5,0.0,0.0,High Potassium
Bell Pepper,Sandy,22.166666666666668,75.79166666666667,0.0,0.0,Balanced NPK
Peach,Loam,22.70833333333333,77.66666666666667,1.1,0.0,Balanced NPK
Cherry,Sandy,27.291666666666668,42.54166666666666,0.0,0.0,High Potassium
Strawberry,Sandy,24.58333333333333,62.958333333333336,0.3,0.0,High Potassium
Corn (Maize),Sandy,22.20833333333333,76.66666666666667,0.0,0.0,Balanced NPK
Apple,Sandy,23.916666666666668,71.5,0.6000000000000001,0.0,Balanced NPK
Bell Pepper,Sandy,24.791666666666668,66.70833333333333,3.0,0.0,Balanced NPK
Bell Pepper,Loam,23.75,83.375,4.0,1.0,Balanced NPK
Cherry,Sandy,19.166666666666668,57.458333333333336,0.0,0.0,High Potassium
Apple,Sandy,28.58333333333333,50.208333333333336,0.0,0.0,Balanced NPK
Corn (Maize),Loam,25.125,68.66666666666667,5.1,0.0,Balanced NPK
Grape,Loam,23.041666666666668,81.20833333333333,1.8,0.0,Balanced NPK
Bell Pepper,Sandy,27.20833333333333,33.833333333333336,0.0,0.0,Balanced NPK
Bell Pepper,Loam,21.666666666666668,86.125,1.0,0.0,High Potassium
Bell Pepper,Sandy,26.791666666666668,60.91666666666666,0.0,0.0,Balanced NPK
Strawberry,Sandy,20.416666666666668,72.45833333333333,0.0,0.0,High Potassium
Cherry,Sandy,27.875,49.54166666666666,0.0,0.0,High Potassium
Corn (Maize),Sandy,22.70833333333333,72.33333333333333,0.0,0.0,Balanced NPK
Tomato,Sandy,23.33333333333333,71.33333333333333,1.4,0.0,High Potassium
Peach,Loam,22.75,79.125,0.3,0.0,Balanced NPK
Strawberry,Sandy,20.791666666666668,54.91666666666666,0.0,0.0,High Potassium
Peach,Loam,20.666666666666668,77.875,0.0,0.0,Balanced NPK
Potato,Sandy,20.875,52.833333333333336,0.0,0.0,High Potassium
Peach,Loam,22.0,79.625,0.6,0.0,Balanced NPK
Grape,Sandy,22.375,74.5,0.5,0.0,High Potassium
Tomato,Loam,23.75,77.66666666666667,1.7,0.0,High Potassium
Cherry,Sandy,22.58333333333333,42.583333333333336,0.0,0.0,High Potassium
Potato,Sandy,21.375,46.79166666666666,0.0,0.0,High Potassium
Potato,Loam,20.791666666666668,88.04166666666667,2.2,1.0,Balanced NPK
Strawberry,Sandy,22.83333333333333,75.625,0.0,0.0,High Potassium
Potato,Sandy,23.041666666666668,67.33333333333333,0.0,0.0,High Potassium
Grape,Loam,23.08333333333333,77.0,4.0,1.0,Balanced NPK
Apple,Sandy,27.83333333333333,50.125,0.0,0.0,Balanced NPK
Grape,Loam,21.916666666666668,92.54166666666669,14.9,1.0,Balanced NPK
Bell Pepper,Sandy,18.875,45.125,0.0,0.0,Balanced NPK
Strawberry,Sandy,28.166666666666668,47.0,0.0,0.0,High Potassium
Strawberry,Loam,18.875,74.16666666666667,0.0,0.0,Balanced NPK
Peach,Loam,22.58333333333333,76.66666666666667,1.1,0.0,Balanced NPK
Bell Pepper,Sandy,23.33333333333333,52.75,0.0,0.0,Balanced NPK
Tomato,Sandy,23.45833333333333,52.708333333333336,0.0,0.0,High Potassium
Tomato,Sandy,23.916666666666668,65.66666666666667,0.1,0.0,High Potassium
Corn (Maize),Sandy,26.625,62.16666666666666,3.0,0.0,Balanced NPK
Strawberry,Sandy,26.125,64.83333333333333,2.2,0.0,High Potassium
Peach,Sandy,23.45833333333333,71.625,2.9,1.0,Organic Compost
Strawberry,Loam,22.45833333333333,84.45833333333333,2.8,1.0,Balanced NPK
Peach,Sandy,20.75,41.958333333333336,0.0,0.0,Balanced NPK
Peach,Sandy,27.75,34.291666666666664,0.0,0.0,Balanced NPK
Bell Pepper,Loam,20.166666666666668,79.25,0.0,0.0,High Potassium
Potato,Sandy,22.541666666666668,56.16666666666666,0.0,0.0,High Potassium
Cherry,Sandy,22.33333333333333,74.83333333333333,0.0,0.0,High Potassium
Tomato,Sandy,27.125,55.54166666666666,0.5,0.0,High Potassium
Bell Pepper,Sandy,27.95833333333333,51.583333333333336,0.9,0.0,Balanced NPK
Apple,Clay,24.166666666666668,77.41666666666667,20.7,1.0,Balanced NPK
Corn (Maize),Sandy,22.5,72.70833333333333,0.0,0.0,Balanced NPK
Cherry,Loam,21.791666666666668,92.45833333333331,9.2,1.0,Balanced NPK
Tomato,Sandy,25.0,40.54166666666666,0.0,0.0,High Potassium
Potato,Sandy,22.416666666666668,73.54166666666667,0.0,0.0,High Potassium
Strawberry,Clay,25.041666666666668,70.95833333333333,26.6,1.0,Balanced NPK
Corn (Maize),Sandy,26.25,45.91666666666666,0.0,0.0,Balanced NPK
Potato,Sandy,28.33333333333333,46.208333333333336,1.1,0.0,High Potassium
Tomato,Sandy,24.20833333333333,71.70833333333333,0.4,0.0,High Potassium
Cherry,Sandy,23.666666666666668,73.33333333333333,0.8,0.0,High Potassium
Apple,Sandy,22.875,76.75,0.2,1.0,Organic Compost
Potato,Loam,22.45833333333333,77.29166666666667,0.7000000000000001,0.0,Balanced NPK
Tomato,Sandy,22.58333333333333,42.583333333333336,0.0,0.0,High Potassium
Bell Pepper,Sandy,24.166666666666668,74.08333333333333,1.4,0.0,Balanced NPK
Bell Pepper,Loam,22.70833333333333,77.66666666666667,1.1,0.0,High Potassium
Apple,Loam,24.125,74.70833333333333,4.9,1.0,Balanced NPK
Peach,Sandy,28.70833333333333,44.66666666666666,0.0,0.0,Balanced NPK
Potato,Sandy,18.041666666666668,66.0,0.0,0.0,High Potassium
Bell Pepper,Sandy,26.58333333333333,61.583333333333336,0.0,1.0,Organic Compost
Bell Pepper,Sandy,25.5,61.458333333333336,0.0,0.0,Balanced NPK
Bell Pepper,Sandy,29.33333333333333,44.833333333333336,0.3,0.0,Balanced NPK
Cherry,Sandy,28.875,36.5,0.0,0.0,High Potassium
Cherry,Sandy,22.45833333333333,30.58333333333333,0.0,0.0,High Potassium
Tomato,Loam,22.0,94.25,14.9,1.0,Balanced NPK
Apple,Sandy,28.33333333333333,53.333333333333336,0.5,0.0,Balanced NPK
Strawberry,Sandy,22.70833333333333,73.04166666666667,0.0,0.0,High Potassium
Cherry,Sandy,25.25,46.083333333333336,0.0,1.0,Organic Compost
Apple,Sandy,22.875,51.16666666666666,0.0,1.0,Organic Compost
Strawberry,Sandy,24.125,70.08333333333333,1.4,0.0,High Potassium
Peach,Sandy,18.95833333333333,56.91666666666666,0.0,0.0,Balanced NPK
Potato,Loam,23.541666666666668,71.25,3.7,1.0,Balanced NPK
Strawberry,Loam,23.58333333333333,75.29166666666667,2.5,1.0,Balanced NPK
Cherry,Sandy,24.5,69.33333333333333,0.2,0.0,High Potassium
Apple,Sandy,26.58333333333333,31.08333333333333,0.0,0.0,Balanced NPK
Peach,Loam,22.416666666666668,80.29166666666667,2.0,0.0,Balanced NPK
Peach,Sandy,28.33333333333333,53.333333333333336,0.5,0.0,Balanced NPK
Bell Pepper,Sandy,28.291666666666668,44.958333333333336,0.0,0.0,Balanced NPK
Potato,Sandy,22.58333333333333,72.375,0.0,0.0,High Potassium
Cherry,Loam,22.666666666666668,79.33333333333333,1.2000000000000002,0.0,Balanced NPK
Tomato,Sandy,24.541666666666668,68.79166666666667,2.7,0.0,High Potassium
Peach,Loam,24.0,88.20833333333333,12.4,1.0,Balanced NPK
Cherry,Loam,19.70833333333333,77.54166666666667,0.0,0.0,Balanced NPK
Peach,Sandy,21.95833333333333,63.208333333333336,0.5,0.0,Balanced NPK
Strawberry,Sandy,24.08333333333333,74.70833333333333,1.7,0.0,High Potassium
Cherry,Sandy,28.25,65.79166666666667,3.4000000000000004,0.0,High Potassium
Grape,Sandy,30.08333333333333,34.208333333333336,0.0,1.0,Organic Compost
Bell Pepper,Loam,23.791666666666668,76.58333333333333,5.1,1.0,Balanced NPK
Strawberry,Loam,21.375,79.625,0.0,0.0,Balanced NPK
Strawberry,Sandy,28.5,46.125,0.0,0.0,High Potassium
Grape,Sandy,24.33333333333333,76.45833333333333,0.0,0.0,High Potassium
Apple,Sandy,24.166666666666668,40.625,0.0,0.0,Balanced NPK
Strawberry,Sandy,24.5,65.25,0.0,0.0,High Potassium
Strawberry,Sandy,28.0,52.208333333333336,1.3,1.0,Organic Compost
Corn (Maize),Sandy,23.70833333333333,57.66666666666666,0.0,1.0,Organic Compost
Grape,Sandy,22.45833333333333,70.83333333333333,0.0,0.0,High Potassium
Corn (Maize),Sandy,24.45833333333333,69.41666666666667,3.2,0.0,Balanced NPK
Potato,Sandy,29.58333333333333,40.833333333333336,0.1,1.0,Organic Compost
Potato,Loam,24.70833333333333,73.29166666666667,7.2,1.0,Balanced NPK
Corn (Maize),Loam,23.0,69.5,4.0,0.0,Balanced NPK
Tomato,Sandy,28.666666666666668,42.708333333333336,0.0,0.0,High Potassium
Bell Pepper,Sandy,21.041666666666668,68.70833333333333,0.0,0.0,Balanced NPK
Tomato,Loam,22.83333333333333,75.95833333333333,1.5,0.0,High Potassium
Strawberry,Sandy,25.95833333333333,31.95833333333333,0.0,0.0,High Potassium
Cherry,Sandy,22.375,42.66666666666666,0.0,0.0,High Potassium
Bell Pepper,Loam,23.5,83.16666666666667,8.0,1.0,Balanced NPK
Bell Pepper,Sandy,28.70833333333333,44.66666666666666,0.0,0.0,Balanced NPK
Strawberry,Loam,28.416666666666668,58.958333333333336,5.7,0.0,Balanced NPK
Peach,Sandy,23.83333333333333,70.875,0.6,0.0,Balanced NPK
Bell Pepper,Loam,30.08333333333333,54.083333333333336,8.5,1.0,Balanced NPK
Apple,Loam,23.0,80.04166666666667,2.4,1.0,Balanced NPK
Corn (Maize),Sandy,23.375,48.16666666666666,0.0,0.0,Balanced NPK
Potato,Loam,23.375,75.0,3.8,1.0,Balanced NPK
Strawberry,Sandy,24.666666666666668,69.5,0.3,0.0,High Potassium
