temperature,humidity,rainfall,pressure,soil_moisture,wind_speed,soil_type
20,89.0,0.0,1009.0,0.29200000000000004,15.0,Loam
16,66.0,0.0,1013.0,0.243,7.0,Sandy
23,55.0,0.0,1013.0,0.17500000000000002,8.0,Sandy
22,90.0,3.0,1010.0,0.30900000000000005,4.0,Loam
23,74.0,0.0,1010.0,0.232,24.0,Sandy
21,52.0,0.0,1014.0,0.176,11.0,Sandy
29,46.0,0.0,1007.0,0.11800000000000001,12.0,Sandy
25,67.0,0.0,1007.0,0.201,18.0,Sandy
30,13.0,0.0,1009.0,0.013999999999999999,11.0,Sandy
27,61.0,0.0,1006.0,0.173,17.0,Sandy
24,30.0,0.0,1018.0,0.095,13.0,Sandy
20,90.0,0.0,1011.0,0.29500000000000004,18.0,Loam
22,81.0,0.2,1011.0,0.2596,13.0,Loam
25,75.0,0.0,1007.0,0.22499999999999998,6.0,Sandy
34,18.0,0.0,1007.0,0.009000000000000001,18.0,Sandy
27,41.0,0.0,1014.0,0.11299999999999999,18.0,Sandy
23,55.0,0.0,1016.0,0.17500000000000002,13.0,Sandy
19,95.0,0.0,1012.0,0.315,8.0,Loam
29,20.0,0.0,1011.0,0.039999999999999994,18.0,Sandy
21,97.0,0.0,1010.0,0.311,6.0,Loam
25,64.0,0.0,1013.0,0.192,23.0,Sandy
20,70.0,0.0,1017.0,0.235,16.0,Sandy
22,80.0,0.0,1012.0,0.255,15.0,Loam
20,95.0,0.0,1010.0,0.31,11.0,Loam
24,43.0,0.0,1014.0,0.134,9.0,Sandy
26,39.0,0.0,1012.0,0.11199999999999999,17.0,Sandy
19,76.0,0.0,1013.0,0.258,6.0,Loam
26,44.0,0.0,1011.0,0.127,4.0,Sandy
19,99.0,0.1,1012.0,0.32780000000000004,7.0,Loam
26,73.0,0.4,1010.0,0.2172,20.0,Sandy
24,74.0,0.2,1008.0,0.2286,16.0,Sandy
20,54.0,0.0,1014.0,0.187,10.0,Sandy
16,86.0,0.0,1018.0,0.303,10.0,Loam
25,23.0,0.0,1010.0,0.069,10.0,Sandy
22,42.0,0.0,1013.0,0.14100000000000001,8.0,Sandy
30,41.0,0.0,1007.0,0.09799999999999998,9.0,Sandy
19,97.0,0.0,1012.0,0.321,9.0,Loam
25,58.0,0.0,1014.0,0.174,12.0,Sandy
27,27.0,0.0,1013.0,0.07100000000000001,10.0,Sandy
25,73.0,0.0,1012.0,0.219,8.0,Sandy
18,92.0,0.0,1014.0,0.31100000000000005,12.0,Loam
18,73.0,0.0,1020.0,0.254,14.0,Loam
24,58.0,0.0,1016.0,0.179,10.0,Sandy
32,41.0,0.0,1007.0,0.08799999999999998,11.0,Sandy
24,66.0,0.0,1010.0,0.203,9.0,Sandy
26,66.0,0.0,1008.0,0.193,16.0,Sandy
20,87.0,0.0,1014.0,0.28600000000000003,11.0,Loam
24,71.0,0.0,1008.0,0.218,21.0,Sandy
30,40.0,0.0,1012.0,0.095,6.0,Sandy
21,69.0,0.0,1013.0,0.22699999999999998,15.0,Sandy
18,98.0,0.0,1003.0,0.32899999999999996,17.0,Loam
